claim,manuscript_value,csv_value,csv_source,caption_value,si_value,status
Engine validation abs diffs (ramp-bruteforce / ramp-hmmlearn / step-hmmlearn),"2.13e-14, 3.64e-12, 2.27e-13","2.1316e-14, 3.6380e-12, 2.2737e-13","ramp_validation_forward.json (ramp_bruteforce_max_abs_diff, ramp_hmmlearn_k50_abs_diff); phase1_recovery_validation.json (hmmlearn_check.abs_diff)","2.1e-14, 3.6e-12, 2.3e-13 (2 sig figs)","2.13e-14, 3.64e-12, 2.27e-13 (Table 1)",PASS
Step relative error,2.61e-16,2.611e-16 (=2.2737e-13/870.8185),phase1_recovery_validation.json (abs_diff / |our_ll|),not stated,2.61e-16 (Table 1),PASS
Per-cell threshold cross-walk: 0.80 recovery <-> ~0.57 AUC <-> ~0.24 SD,0.80 / 0.57 / 0.24,"0.80 contour in NB grid; linear@(d=0.24,rho=0.493)=0.570-0.577; BAR=0.57","phase1_recovery_nb_grid_R40.csv; calibration.csv/injection_control.csv (d=0.24,rho=0.493 linear)",0.57 bar + 0.24 SD (fig3); 0.80 contour (fig2),0.80 (S1/S2); 0.24 (Table 2); 0.57 (Table 4),PASS (interpretive cross-walk; each component sourced)
"Poisson vs NB recovery at N=40/160/320 (fr20, Fano>=1.5)",Poisson 0.48/0.53/0.52; NB 0.56/0.73/0.80,Poisson 0.4833/0.5333/0.5208; NB 0.5625/0.7292/0.8000,"phase1_recovery_poisson_misspec_R40.csv + phase1_recovery_nb_grid_R40.csv (fr=20,fano>=1.5)","Poisson 0.48,0.53,0.52; NB 0.56,0.73,0.80 (fig2b)",not tabulated,PASS
NB operating point N=40/20Hz recovery; N to reach 0.80,0.56; ~320,0.5625; first clear N=320,"phase1_recovery_nb_grid_R40.csv (fr=20,N=40,fano>=1.5,both gens)",~40 tr/20Hz recovery 0.56; pool to ~320 (fig2a),N=40 column nearest median ~53 tr (S1 note),PASS
Canonical ramp diffusion sigma,0.4,0.4 (sweep param; axvline 0.4 panel_c),ramp_validation_robustness.csv (sigma grid),canonical sigma=0.4 (fig2c),canonical sigma=0.4 (S2),PASS
Step-selection crossover near stepiness,0.78,0.775 (midpoint of bracketing grid pts 0.70/0.85) / 0.807 (P-weighted interp),"phase1_recovery_stepiness.csv (mean step_won; P=0.375@0.70, 0.55@0.85)",crosses 0.5 near stepiness 0.78 (fig2d),crosses 0.5 near stepiness 0.78 (S2),"PASS (3 text artifacts agree 0.78; raw crossing 0.775-0.81, 'near' holds)"
Poisson best-case (S1) operating point; N to reach 0.80,0.68; ~160,0.6833; first clear N=160,"phase1_recovery_sweep.csv (fr=20,N=40, mean 'correct')","(Fig S1, no main caption)",best-case 0.68; reaches 0.80 at N~160 (S1),PASS
Six controls x three tests (no-signal/preserve/remove) decode AUC,none .483/.588/.671; linear .507/.614/.506; ridge .502/.609/.551; pca .501/.607/.523; expanded .500/.545/.477; crossfit .466/.479/.481,exact match (none .4828/.5875/.6705; linear .5069/.6145/.5063; ridge .5021/.6094/.5507; pca .5009/.6066/.5233; expanded .4997/.5447/.4766; crossfit .4661/.4789/.4806),"calibration.csv (d/rho rows: 0,0 | 0.24,0 | 0.24,1.0)","controls listed, no numbers (fig3a)",all 18 values match (Table 2),PASS
Uncontrolled preserve AUC; preserve-retained linear / expanded,"0.588; linear 1.31, expanded 0.51 (51%)","0.5875; linear 1.31, expanded 0.511",calibration.csv (none/linear/expanded preserve vs none-above-chance),uncontrolled preserve line (fig3a),"0.588; linear 1.31, expanded 0.51 (Table 2)",PASS
Real-data survivors of 301 choice-selective: expanded/linear/pca,66 / 133 / 193,66 / 133 / 193 (movesurv_published=131 unused),"overcorrection_contrast.csv (IBL,ALL: movesurv_expanded/linear/pca_expanded)","out of 301 (fig3c, no per-bar numbers)",66 / 133 / 193 (Table 2),"PASS (figure uses movesurv_linear=133, not published=131)"
Calibration n sessions / repeats; injected threshold; recovered at threshold,"n=28 MRN, 14 repeats; 0.24 SD; ~0.57","28 MRN sessions; d=0.24; linear@(0.24,0.493)=0.570(inj)/0.577(cal); repeat-count not in CSV","calibrate.log/injection_control.log (28 sessions); calibration.csv/injection_control.csv (d=0.24,rho=0.493)","n=28, mean over 14 repeats; 0.24 SD; 0.57 bar (fig3)","n=28, mean over 14 repeats (Table 2)","PASS (14-repeat count in caption/SI, not in CSV)"
'roughly 30 trials per session'; 'fourteen movement regressors',~30 trials; 14 regressors,30.1 decorrelated trials/session; EXPANDED = nonlinear 14-regressor,injection_control.log:2 (30.1 trials); REPORT.md:30 (14-regressor expanded),not stated,not stated (SI mentions recomputed 4-regressor linear),PASS (sourced in logs/REPORT)
"IBL decode valid vs expanded: MRN, SCm, IRN, GRN","MRN .581[.539,.622] vs .528; SCm .543 vs .503; IRN .520; GRN .443","MRN .5805[.5391,.6224] vs .5279; SCm .5428 vs .5028; IRN .5204; GRN .4426",corrected_decode_by_region.csv (control=linear/expanded),n per region only (fig4a),"MRN .581[.539,.622] (Table 4 floor10/delib)",PASS
"Steinmetz decode valid vs expanded: MRN, SC, SNr","MRN .621[.542,.722] vs .541; SC .544; SNr .545","MRN .6207[.5415,.7215] vs .5414; SC .5440; SNr .5450","corrected_decode_by_region.csv (Steinmetz, linear/expanded)",n per region only (fig4a),not in SI tables,PASS
No region CI entirely above 0.57; MRN at boundary both datasets,true,all linear CIs straddle/below 0.57 (IBL MRN lo .539; Stein MRN lo .542),"corrected_decode_by_region.csv (decode_lo/hi, control=linear)",No CI entirely above 0.57 (fig4a),MRN at 0.57 boundary (Table 4),PASS
Over-correction cost: erased 67 of 133; survivors 66/133/193,67 of 133; 66/133/193,133-66=67; 66/133/193,"overcorrection_contrast.csv (IBL,ALL)","survivor bars (fig4b), no numbers",66/133/193 (Table 2),PASS
"Per-region n (sessions, cells); IBL SNr omitted","IBL MRN 28/356, SCm 18/239, IRN 9/97, GRN 6/86; Stein MRN 7/223, SC 6/168, SNr 4/79; IBL SNr=1 omitted",matches exactly; IBL SNr n_sessions=1 (decode blank),"corrected_decode_by_region.csv (n_sessions, pooled_n)",same n list; IBL SNr omitted (1 session) (fig4a),not enumerated in SI,PASS
Robustness (Table 4) 9 settings decode AUC/CI/pooled incl peri positive control,"peri 0.640[0.591,0.691]; 9 settings as listed","all 9 linear rows match (peri 0.6401[0.5914,0.6913], pooled 0.1097)",corrected_robustness.csv (control=linear),(robustness is SI),all 9 rows match (Table 4),PASS
IBL cascade within-region FDR published-linear: per region + ALL; all triple in SCm,"MRN 47/0/0/0, SCm 27/5/11/3, SNr 14/0/2/0, GRN 6/0/0/0, IRN 8/0/0/0; ALL 102/5/13/3","exact match (within-region BH, published(linear))","corrected_cascade.csv (within-region BH, published(linear))","choice 102, triple 3, SCm overlay (fig5a)",exact match (Table 3),"PASS (NB supp_tables/table_S4.md is STALE dataset-wide-BH: 301->98, triple 59->0)"
Recomputed-linear control: ALL move-indep / triple,17 / 4,"move_indep 17, triple 4","corrected_cascade.csv (within-region BH, linear(recomputed), ALL)",not in caption,17 / 4 (Table 3 footnote),PASS
"Steinmetz cascade (recomputed-linear): MRN, SC, SNr, ALL","MRN 65/23/0/0, SC 45/16/0/0, SNr 9/8/0/0; ALL 119/47/0/0","exact match (within-region BH, linear(recomputed)); published(linear) differs (24/18/7/49)","corrected_cascade.csv (Steinmetz, within-region BH, linear(recomputed))","(Steinmetz = replication context, fig6b)",exact match (Table 3),PASS
SCm exemplars before -> after VALID(linear) control; range,"0.787->0.757, 0.810->0.801, 0.794->0.765; range 0.76-0.80",before(auc_delib) 0.787/0.810/0.794 OK; after-LINEAR(auc_linear=auc_move_linear) 0.749/0.736/0.736 (range .736-.749). 0.757/0.801/0.765 = PCA column (auc_pca/auc_move_pca_expanded),phase2_sel_cells_full.csv (auc_delib); exemplar_cells.csv (auc_linear vs auc_pca); percell_pmove.csv,"before vs after-linear, 3 SCm cells, no numbers (fig5b)",not in SI tables,MISMATCH: manuscript 'after' trio = PCA-control AUCs; Fig 5b plots after-LINEAR 0.749/0.736/0.736 (before-values correct)
'about 39 cells held choice decode >=0.70 after two independent valid controls',~39,39 (exemplar_cells.csv rows; all have auc_linear>=0.70 AND auc_pca>=0.70; =36 IBL + 3 Steinmetz),exemplar_cells.csv (rowcount; linear & pca columns),not in caption,not in SI,PASS (two controls = linear + pca; pools IBL 36 + Steinmetz 3)
Population per-cell distribution: median; tail >0.65,median ~0.50; 7.6% > 0.65,median 0.5035; frac>0.65 = 0.0759 (7.59%); n=1620,"percell_pmove.csv (IBL, auc_move_linear) [Fig 5c source - NOT selective_subpopulation.csv]",median + frac>0.65 on panel; on-panel label rounds to '8%' (:.0%) (fig5c),not in SI tables,PASS (text 7.6% = CSV 7.59%; on-panel annotation shows 8% by 0-dp rounding)
"Cells entering cascade: IBL 1620, Steinmetz 470; 301 choice-selective (IBL raw)",1620; 470; 301,"hiFR ALL: IBL 1620, Steinmetz 470; n_choice_sig IBL ALL 301",corrected_cascade.csv (hiFR ALL); overcorrection_contrast.csv (n_choice_sig),n=1620 (fig5); 301 (fig3c),"1620, 470 (Table 3)",PASS
Full cohort: insertions / sessions / region-sessions,205 / 176 / 259,"unique pid 205, unique eid 176; region_sessions sum 259","full_census_units.csv (pid,eid); full_census.csv (region_sessions sum)",205 insertions / 176 sessions / 259 region-sessions (fig6a),205 / 176 / 259 (Table 5),PASS
Region-sessions per region,"MRN 118, SCm 68, IRN 33, SNr 23, GRN 17","MRN 118, SCm 68, IRN 33, SNr 23, GRN 17",full_census.csv (region_sessions),"(MRN 118, SCm 68, IRN 33, SNr 23, GRN 17) (fig6a)",same (Table 5),PASS
Max simultaneous good-QC units; global max,"MRN 91, SCm 90, GRN 79, IRN 73, SNr 36; global 91","MRN 91, SCm 90, IRN 73, SNr 36, GRN 79; global 91",full_census.csv (max_simul_goodQC),"ordered by max, 120 line (fig6a)","MRN 91, SCm 90, GRN 79, IRN 73, SNr 36; global 91 (Table 5)",PASS
0 of 259 reach 120-cell requirement,0 of 259; 120,all sessions_ge120_goodQC=0; requirement 120,full_census.csv (sessions_ge120_goodQC),0 reach 120; 120-cell requirement (fig6a),0 of 259 (Table 5),PASS
Number-53 coincidence: hi-FR simultaneous max 53 vs median trials/session 53,"53 (cells) and 53 (trials), distinct",NOT in full_census.csv (good-QC max=91); hi-FR-max 53 -> phase2/hi-FR census (supp_tables S3); median-53-trials -> per-session trial distribution,full_census.csv (good-QC only); two 53s sourced elsewhere,median ~53 trials/session (fig6c),both 53s flagged as distinct coincidence (Table 5 footnote),PASS (caption+SI consistent; SOFT: neither 53 in listed census CSV)
