dataset,region,control,n_sessions,decode_auc,decode_lo,decode_hi,decode_p,decode_bar,pooled_sd,pooled_lo,pooled_hi,pooled_n,pooled_bar
IBL,MRN,none,28,0.6149432031323208,0.5571863120215949,0.6715710703391714,0.01639344262295082,straddles,0.0588658234539174,0.0012809847007796639,0.11663177056320785,356,BELOW
IBL,MRN,linear,28,0.5805305473059421,0.5391273542559107,0.6224255920868527,0.008264462809917356,straddles,-0.013126504773974298,-0.06746204978669483,0.040935337852476966,356,BELOW
IBL,MRN,expanded,28,0.5279040684148412,0.5012272207374168,0.555235509707253,0.06557377049180328,BELOW,-0.043611768467650816,-0.09889766893334355,0.012188377379244272,356,BELOW
IBL,MRN,pca_expanded,28,0.5882817474525763,0.5361773814814542,0.6406872566210633,0.008264462809917356,straddles,0.007705600820204574,-0.047283054141543,0.06259172138818743,356,BELOW
IBL,SCm,none,18,0.6190564950331479,0.5668461290192589,0.6715174317817054,0.01639344262295082,straddles,0.1437929781671241,0.0916392527243654,0.19871920491099043,239,BELOW
IBL,SCm,linear,18,0.5427805349924852,0.49144098668608455,0.5962070674597878,0.04132231404958678,straddles,0.046483514102991785,-0.001910261509285847,0.09491904955970294,239,BELOW
IBL,SCm,expanded,18,0.5027595747576401,0.47567947189006776,0.5328777646221811,0.4918032786885246,BELOW,0.026010854917868025,-0.02500296262971157,0.07759670208670945,239,BELOW
IBL,SCm,pca_expanded,18,0.5698671472347915,0.5160686136754994,0.6273199359644978,0.008264462809917356,straddles,0.10140482302309733,0.052453081974167384,0.15288170499280926,239,BELOW
IBL,SNr,none,1,,,,,n/a,0.14434453329973523,0.00035226202948560964,0.2965189846512836,37,straddles
IBL,SNr,linear,1,,,,,n/a,-0.12662944673835752,-0.27486133502147164,0.021215776714134046,37,BELOW
IBL,SNr,expanded,1,,,,,n/a,-0.23925426435633534,-0.4035917955148317,-0.08674390691967336,37,BELOW
IBL,SNr,pca_expanded,1,,,,,n/a,-0.08054467697229739,-0.2314401153863276,0.07033895788549588,37,BELOW
IBL,GRN,none,6,0.46606890904509957,0.3005391156462585,0.6285689090450995,0.639344262295082,straddles,0.15276025815785763,0.029362005650159353,0.27734461956863454,86,straddles
IBL,GRN,linear,6,0.4426398337112623,0.356653517888637,0.5390873015873016,0.768595041322314,BELOW,0.09067518068904165,-0.02286354975150801,0.2074090206304104,86,BELOW
IBL,GRN,expanded,6,0.4590280927185688,0.37730158730158725,0.528344671201814,0.819672131147541,BELOW,0.0016433216723830218,-0.1098453793214104,0.11499789129253891,86,BELOW
IBL,GRN,pca_expanded,6,0.4246907281431091,0.34472269463340893,0.508253338372386,0.8760330578512396,BELOW,0.11336097428623343,-0.0028150953994300182,0.2321412118679252,86,BELOW
IBL,IRN,none,9,0.6575847841342023,0.5888818657092466,0.7240164298482246,0.01639344262295082,CLEARS,0.049226989571920524,-0.056859342965497314,0.15241432195744054,97,BELOW
IBL,IRN,linear,9,0.5204076109478595,0.4477416817104909,0.5962750580743215,0.3140495867768595,straddles,-0.03305903787116134,-0.13627359944057152,0.06291915950285067,97,BELOW
IBL,IRN,expanded,9,0.47937098126731637,0.43391304384960644,0.5298642433191808,0.7213114754098361,BELOW,-0.1349315591937555,-0.2184656704013407,-0.056733078694981016,97,BELOW
IBL,IRN,pca_expanded,9,0.5824420966291095,0.512907937538257,0.6456154697584742,0.01652892561983471,straddles,0.012651118245758423,-0.08589752043154991,0.10837827494627975,97,BELOW
Steinmetz,MRN,none,7,0.6509056458778879,0.5893738210744887,0.7368365059917327,0.01639344262295082,CLEARS,0.09455165690529829,0.04971958820739415,0.13902359242321152,223,BELOW
Steinmetz,MRN,linear,7,0.6207051067741126,0.5415397179486675,0.721501370171609,0.008264462809917356,straddles,0.0628118901262156,0.021267305588639124,0.10480838353293657,223,BELOW
Steinmetz,MRN,expanded,7,0.5414376528392,0.5090596655423486,0.5694983494716124,0.09836065573770492,BELOW,0.03206392512954734,-0.007486323090533588,0.07372325881198044,223,BELOW
Steinmetz,MRN,pca_expanded,7,0.6269793395586395,0.5418545510769452,0.7360092361518693,0.008264462809917356,straddles,0.05648678571647941,0.012813222129623623,0.10108284014221922,223,BELOW
Steinmetz,SC,none,6,0.5996414504388263,0.46290887804529657,0.7363740228323561,0.03278688524590164,straddles,0.12330586175084002,0.0659827706102084,0.18482369812915672,168,BELOW
Steinmetz,SC,linear,6,0.5440376230537495,0.47028063029792283,0.6124118268514821,0.1322314049586777,straddles,0.1334232777555126,0.07707456400725607,0.19074934086309395,168,BELOW
Steinmetz,SC,expanded,6,0.5464568127850596,0.45490032403960035,0.6240617663423307,0.08196721311475409,straddles,0.07971035451962952,0.024482222647666096,0.13616404944378022,168,BELOW
Steinmetz,SC,pca_expanded,6,0.549064966650918,0.46192199572652454,0.6314552699250976,0.09917355371900827,straddles,0.1186433696022346,0.06128998482617162,0.1752895116247511,168,BELOW
Steinmetz,SNr,none,4,0.5962205126601412,0.48240495028420727,0.7129613807245386,0.06557377049180328,straddles,0.07406879635373459,-0.013733375858946845,0.16273373595861504,79,BELOW
Steinmetz,SNr,linear,4,0.5450139274210481,0.42158091306698114,0.6988203463203463,0.1487603305785124,straddles,0.0453718319759428,-0.042398819405365384,0.13686935305709194,79,BELOW
Steinmetz,SNr,expanded,4,0.5294555331436136,0.42892701525054466,0.6645959595959595,0.3114754098360656,straddles,0.042335515059287426,-0.04228727163883976,0.12678790290066122,79,BELOW
Steinmetz,SNr,pca_expanded,4,0.5687083238399028,0.4486215538847118,0.7031926406926408,0.11570247933884298,straddles,0.06963583163850985,-0.01673574649390625,0.15687969671468985,79,BELOW
